TransactionID,Amount,Status,Account
T001,2513,Failed,A003
T002,4293,Approved,A002
T003,1098,Approved,A001
T004,793,Failed,A001
T005,3335,Failed,A005
T006,1719,Failed,A003
T007,4279,Approved,A005
T008,4091,Failed,A005
T009,3241,Approved,A003
T010,2309,Failed,A004
T011,4169,Approved,A001
T012,1497,Approved,A005
T013,1083,Failed,A001
T014,1447,Failed,A003
T015,794,Failed,A004
T016,1208,Failed,A004
T017,4047,Failed,A002
T018,4560,Approved,A001
T019,1315,Failed,A003
T020,830,Failed,A001
T021,2239,Approved,A004
T022,3782,Failed,A002
T023,1799,Approved,A003
T024,1662,Approved,A003
T025,593,Approved,A004
T026,992,Approved,A003
T027,1724,Approved,A005
T028,4931,Approved,A001
T029,4656,Failed,A001
T030,1390,Failed,A001
T031,2446,Approved,A002
T032,4953,Approved,A002
T033,2625,Approved,A003
T034,3826,Approved,A004
T035,3585,Failed,A003
T036,1231,Failed,A004
T037,1844,Approved,A003
T038,988,Failed,A002
T039,590,Approved,A002
T040,2476,Approved,A004
T041,1655,Approved,A004
T042,4798,Failed,A004
T043,4132,Approved,A001
T044,3832,Failed,A002
T045,1071,Failed,A001
T046,1330,Approved,A001
T047,4058,Approved,A003
T048,1098,Failed,A005
T049,4240,Failed,A001
T050,1986,Failed,A001
