TransactionID,Amount,Status,Account
T001,4242,Approved,A004
T002,4813,Approved,A001
T003,951,Failed,A005
T004,2245,Approved,A002
T005,760,Approved,A004
T006,1001,Approved,A003
T007,2142,Failed,A003
T008,1415,Approved,A001
T009,2338,Approved,A001
T010,1389,Failed,A004
T011,2348,Approved,A002
T012,4281,Approved,A004
T013,1665,Approved,A001
T014,3076,Failed,A002
T015,2572,Approved,A004
T016,3257,Failed,A002
T017,2684,Approved,A001
T018,3580,Approved,A003
T019,2131,Failed,A001
T020,3564,Approved,A001
T021,1178,Failed,A002
T022,3300,Approved,A002
T023,1335,Approved,A003
T024,2349,Approved,A002
T025,3129,Failed,A003
T026,671,Failed,A004
T027,843,Approved,A002
T028,2228,Failed,A004
T029,2350,Approved,A005
T030,2448,Failed,A002
T031,2896,Approved,A002
T032,4763,Approved,A005
T033,1195,Approved,A005
T034,3019,Approved,A004
T035,1871,Approved,A005
T036,2771,Approved,A001
T037,1792,Failed,A002
T038,4639,Approved,A002
T039,3033,Approved,A005
T040,3358,Approved,A001
T041,3689,Failed,A001
T042,4238,Approved,A001
T043,4472,Approved,A001
T044,2663,Failed,A004
T045,4088,Approved,A004
T046,3762,Approved,A003
T047,4058,Failed,A003
T048,2449,Failed,A002
T049,4890,Approved,A005
T050,1149,Failed,A004
